code	gdppc1960	gdppc2000	abslatitude	edu1960	region
"AFG"			.3666667	16.88408	"Asia"
"AGO"		2228.592	.1366667	9.78579	"Sub-Saharan Africa"
"ALB"		5315.43		90.2022	"Europe & Central Asia"
"ARE"		111000	.2666667	43.78282	"Middle East & North Africa"
"ARG"	3211.932	14332.46	.3777778	56.45949	"Americas"
"ARM"		3798.665	.4444444		"Europe & Central Asia"
"AUS"	15799.37	39331.89	.3		"Asia"
"AUT"	10212.92	38036.59	.5244445		"Europe & Central Asia"
"AZE"		2816.329	.4477778		"Europe & Central Asia"
"BDI"	754.9923	747.8342	.0366667	2.6043	"Sub-Saharan Africa"
"BEL"	10628.08	33739.32	.5611111	88.91199	"Europe & Central Asia"
"BEN"	1780.014	1695.302	.1033333	12.41925	"Sub-Saharan Africa"
"BFA"	977.4674	1452.542	.1444445	2.48434	"Sub-Saharan Africa"
"BGD"	1563.254	1520.245	.2666667	18.4595	"Asia"
"BGR"		9956.2	.4777778	89.70935	"Europe & Central Asia"
"BHR"		27777.15	.2888889	58.99552	"Middle East & North Africa"
"BHS"		35694.67	.2683333	95.90658	"Americas"
"BIH"		6590.928	.4888889		"Europe & Central Asia"
"BLR"		9892.683	.5888889	97.5461	"Europe & Central Asia"
"BLZ"		6530.45	.1905556	54.21937	"Americas"
"BOL"	1958.69	3264.685	.1888889		"Americas"
"BRA"	2336.849	9460.319	.1111111		"Americas"
"BRB"	9351.602	23597.75	.1455556	89.24274	"Americas"
"BTN"		4428.87	.3033333		"Asia"
"BWA"	513.3024	11064.16	.2444444	18.32298	"Sub-Saharan Africa"
"CAF"	1550.245	1038.014	.0777778	11.76704	"Sub-Saharan Africa"
"CAN"	15393.97	41998.55	.6666667	87.05298	"Americas"
"CHE"	23249.1	47393.04	.5222222	94.0511	"Europe & Central Asia"
"CHL"	5178.165	11693.73	.3333333	63.8738	"Americas"
"CHN"	994.1749	4199.841	.3888889	43.02925	"Asia"
"CIV"	1785.973	2261.178	.0888889	17.71121	"Sub-Saharan Africa"
"CMR"	1570.601	2673.3	.0666667	17.28044	"Sub-Saharan Africa"
"COD"	2983.813	544.6712	0	24.80378	"Sub-Saharan Africa"
"COG"	2057.5	2908.707	.0111111	58.61059	"Sub-Saharan Africa"
"COL"	3875.56	7760.554	.0444444	39.91796	"Americas"
"COM"	2043.115	2951.087	.1344444		"Sub-Saharan Africa"
"CPV"	1257.746	3989.514	.1777778	7.45089	"Sub-Saharan Africa"
"CRI"	5185.355	10515.26	.1111111	46.95662	"Americas"
"CUB"				77.58127	"Americas"
"CYP"	4254.51	27567.71		68.3642	"Europe & Central Asia"
"CZE"		22501.21	.5494444	94.64352	"Europe & Central Asia"
"DEU"	11158.83	37290.4	.5666667		"Europe & Central Asia"
"DJI"		2903.895	.1255556	7.94344	"Middle East & North Africa"
"DNK"	13568.79	37403.95	.6222222	102.2387	"Europe & Central Asia"
"DOM"	3234.121	8391.977	.2111111	40.57588	"Americas"
"DZA"	10835.01	9704.589	.3111111	30.06514	"Middle East & North Africa"
"ECU"	4364.313	5510.877	.0222222	49.73753	"Americas"
"EGY"	766.934	5409.201	.3	48.21971	"Middle East & North Africa"
"ERI"			.1666667		"Sub-Saharan Africa"
"ESP"	6368.11	28207.71	.4444444	84.70232	"Europe & Central Asia"
"EST"		13010.51	.6555555		"Europe & Central Asia"
"ETH"	536.4225	593.4033	.0888889		"Sub-Saharan Africa"
"FIN"	9945.211	35949.79	.7111111	98.18283	"Europe & Central Asia"
"FJI"	3122.212	6694.669	.2	71.79375	"Asia"
"FRA"	11134.62	34969	.5111111	83.84512	"Europe & Central Asia"
"GAB"	3861.647	11433.37	.0111111	29.25992	"Sub-Saharan Africa"
"GBR"	13277.79	35217.97	.6	80.71868	"Europe & Central Asia"
"GEO"		3831.307	.4666667		"Europe & Central Asia"
"GHA"	4536.674	3467.585	.0888889	39.1527	"Sub-Saharan Africa"
"GIN"	3415.743	2790.321	.1222222	17.44147	"Sub-Saharan Africa"
"GMB"	2815.832	2913.825	.1475556	14.02595	"Sub-Saharan Africa"
"GNB"	856.0125	1771.99	.1333333	5.2303	"Sub-Saharan Africa"
"GNQ"	1175.737	10087.06		7.13949	"Sub-Saharan Africa"
"GRC"	5481.608	25357.29	.4333333	79.76708	"Europe & Central Asia"
"GTM"	2376.898	5402.277	.17	17.68669	"Americas"
"GUY"		4687.492	.0555556		"Americas"
"HKG"	6004.623	44197.25	.2461111	61.09881	"Asia"
"HND"	2242.816	3541.542	.1666667	29.56377	"Americas"
"HRV"		13427.42	.5011111		"Europe & Central Asia"
"HTI"	1479.29	2175.768	.2111111	11.84697	"Americas"
"HUN"		16553.89	.5222222	84.99868	"Europe & Central Asia"
"IDN"	1387.893	3753.768	.0556		"Asia"
"IND"	1168.072	2137.655	.2222	28.9669	"Asia"
"IRL"	6697.146	39746.34	.5888889	90.11979	"Europe & Central Asia"
"IRN"	4052.058	8242.715	.3555556		"Middle East & North Africa"
"ISL"	12724.49	39474.62	.7222222	81.05002	"Europe & Central Asia"
"ISR"	9298.085	35327.09	.3477778	81.8865	"Middle East & North Africa"
"ITA"	7582.856	36099.55	.4722222	72.26471	"Europe & Central Asia"
"JAM"	5523.094	5864.072	.2016667	68.81675	"Americas"
"JOR"	3028.678	3860.02	.3444445	74.38989	"Middle East & North Africa"
"JPN"	5473.626	37915.26	.4	91.62033	"Asia"
"KAZ"		6245.464	.5333334		"Europe & Central Asia"
"KEN"	1738.998	2150.216	.0111111	30.00031	"Sub-Saharan Africa"
"KGZ"		2277.892	.4555556		"Europe & Central Asia"
"KHM"		1397.37			"Asia"
"KOR"	1256.048	24834.44	.4111111	75.63432	"Asia"
"KWT"		44734.05	.3255555	79.18873	"Middle East & North Africa"
"LAO"		1969.959	.2	18.40172	"Asia"
"LBN"		5547.001		62.78823	"Middle East & North Africa"
"LBY"			.2777778	68.96346	"Middle East & North Africa"
"LKA"	2969.983	4912.571	.0777778	53.57339	"Asia"
"LSO"	1021.43	2454.026	.3255555	16.65251	"Sub-Saharan Africa"
"LTU"		12111.56	.6222222		"Europe & Central Asia"
"LUX"	18467.48	66585.95	.5494444	63.13657	"Europe & Central Asia"
"LVA"		11853.22	.6333333		"Europe & Central Asia"
"MAC"		31524.33			"Asia"
"MAR"	1398.92	4984.967	.3555556	20.89125	"Middle East & North Africa"
"MDA"		2596.441	.5222222		"Europe & Central Asia"
"MDG"	1609.179	1269.455	.2222222	17.04902	"Sub-Saharan Africa"
"MDV"		9386.699		3.74568	"Asia"
"MEX"	6676.688	14849.22	.2555556	44.86945	"Americas"
"MKD"		8013.898	.4611111		"Europe & Central Asia"
"MLI"	776.5977	1380.947	.1888889	8.95855	"Sub-Saharan Africa"
"MLT"	857.5118	25529.69	.3944444	71.31298	"Middle East & North Africa"
"MMR"		1123.416	.2444444	21.35502	"Asia"
"MNE"		8886.783			"Europe & Central Asia"
"MNG"		3213.197	.5111111	83.41862	"Asia"
"MOZ"	659.2043	857.1803	.2016667	5.51952	"Sub-Saharan Africa"
"MRT"	2018.135	3186.702	.2222222		"Sub-Saharan Africa"
"MUS"	4113.977	16539.11	.2241111	50.0449	"Sub-Saharan Africa"
"MWI"	899.3622	954.1785	.1477778	15.53458	"Sub-Saharan Africa"
"MYS"	2690.403	13385.83	.0255556	54.74508	"Asia"
"NAM"	4204.313	6176.453	.2444444		"Sub-Saharan Africa"
"NCL"					"Asia"
"NER"	2008.355	1036.89	.1777778	3.89409	"Sub-Saharan Africa"
"NGA"	2001.772	941.4751	.1111111	13.67471	"Sub-Saharan Africa"
"NIC"	4851.7	4033.305	.1444445	37.62976	"Americas"
"NLD"	13113.14	42616.63	.5811111	91.96008	"Europe & Central Asia"
"NOR"	12448.91	56381.24	.6888889	93.68787	"Europe & Central Asia"
"NPL"	761.8359	1485.46	.3111111		"Asia"
"NZL"	14358.22	29589.35	.4555556	81.34796	"Asia"
"OMN"		19674.74	.2333333	8.78095	"Middle East & North Africa"
"PAK"	1308.878	2879.38	.3333333	16.95598	"Asia"
"PAN"	2888.155	10030.54	.1	61.14884	"Americas"
"PER"	2903.336	5241.158	.1111111	57.76666	"Americas"
"PHL"	2024.011	4540.942	.1444445	65.48836	"Asia"
"PNG"			.0666667		"Asia"
"POL"		15115.9	.5777778	82.626	"Europe & Central Asia"
"PRI"					"Americas"
"PRT"	4576.536	24812.99	.4366667	53.61485	"Europe & Central Asia"
"PRY"	2345.649	5208.982	.2555556	26.67433	"Americas"
"PSE"		3609.344			"Middle East & North Africa"
"PYF"					"Asia"
"ROU"	1517.148	8579.491	.5111111		"Europe & Central Asia"
"RUS"		9876.469	.6666667		"Europe & Central Asia"
"RWA"	1039.691	958.9729	.0222222	9.52827	"Sub-Saharan Africa"
"SDN"		2265.118	.1666667		"Sub-Saharan Africa"
"SEN"	2868.133	2781.178	.1555556	10.71471	"Sub-Saharan Africa"
"SGP"	2764.531	40524.96	.0135556		"Asia"
"SLB"				16.40612	"Asia"
"SLE"		1039.898	.0922222	12.81194	"Sub-Saharan Africa"
"SLV"	745.048	2323.745	.15	34.156	"Americas"
"SOM"			.1111111	4.1734	"Sub-Saharan Africa"
"SRB"		8301.852			"Europe & Central Asia"
"SSD"					"Sub-Saharan Africa"
"STP"		1974.414	.0111111		"Sub-Saharan Africa"
"SUR"		7505.622	.0444444	50.98862	"Americas"
"SVK"		16586.25	.5377778		"Europe & Central Asia"
"SVN"		23822.06	.5111111		"Europe & Central Asia"
"SWE"	13470.28	39777.28	.6888889	86.28241	"Europe & Central Asia"
"SWZ"		8695.064	.2922222	33.68923	"Sub-Saharan Africa"
"SYR"	2598.177	1739.535	.3888889	47.69288	"Middle East & North Africa"
"TCD"	1442.258	1031.267	.1666667		"Sub-Saharan Africa"
"TGO"	1238.234	1490.213	.0888889	31.66963	"Sub-Saharan Africa"
"THA"	1205.706	7754.835	.1666667	27.77791	"Asia"
"TJK"		1260.75	.4333333		"Europe & Central Asia"
"TLS"					"Asia"
"TTO"	10928.01	14600.53	.1222222		"Americas"
"TUN"	1871.893	9209.736	.3777778	25.1648	"Middle East & North Africa"
"TUR"	5130.866	13102.53	.4333333	38.45215	"Europe & Central Asia"
"TZA"	1161.468	1186.738	.0666667	3.31051	"Sub-Saharan Africa"
"UGA"	867.975	1280.732	.0111111	5.18543	"Sub-Saharan Africa"
"UKR"		4870.475	.5444444		"Europe & Central Asia"
"URY"	7470.181	11817.27	.3666667		"Americas"
"USA"	19079.52	50036.98	.4222222	91.13325	"Americas"
"UZB"		4446.141	.4555556		"Europe & Central Asia"
"VEN"	7649.256	8666.305	.0888889	47.01208	"Americas"
"VNM"		2331.679	.1777778	43.43423	"Asia"
"VUT"				12.65585	"Asia"
"XKX"					"Europe & Central Asia"
"YEM"		1403.381	.1666667		"Middle East & North Africa"
"ZAF"	6773.041	9835.731	.3222222		"Sub-Saharan Africa"
"ZMB"	1838.129	1292.35	.1666667	15.88391	"Sub-Saharan Africa"
"ZWE"	2448.016	3356.706	.2222222	7.81314	"Sub-Saharan Africa"
